Trial Number,,Target Position X,Target Position Y,Target Position Z,Penalty Position X,Penalty Position Y,Penalty Position Z,Collision Position X,Collision Position Y,Collision Position Z,,reltarx,reltary,reltarz,relpenx,relpeny,relpenz,relcollx,relcolly,relcollz,,targetradius,,,,,,,,,,,,,,,,,
55,,-0.9200733,-0.03015381,-2.881579,-0.9216412,-0.03015381,-2.866661,-0.915309,-0.04747152,-2.851299,LargeOverlap(Clone) (UnityEngine.GameObject),-0.1700733,-0.03015381,-0.031579,-0.1716412,-0.03015381,-0.016661,-0.165309,-0.04747152,-0.001299,,0.087037607,,,,,,,,,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject),
56,,-0.7826302,-0.01703721,-3.031665,-0.7973546,-0.01703721,-3.028803,-0.7859548,-0.03224134,-2.998698,LargeOverlap(Clone) (UnityEngine.GameObject),-0.0326302,-0.01703721,-0.181665,-0.0473546,-0.01703721,-0.178803,-0.0359548,-0.03224134,-0.148698,,0.087581915,,,,,,,,,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject),
57,,-0.7432272,-0.03015381,-2.993171,-0.7282478,-0.03015381,-2.992386,-0.7572246,-0.0257473,-2.968032,LargeOverlap(Clone) (UnityEngine.GameObject),0.0067728,-0.03015381,-0.143171,0.0217522,-0.03015381,-0.142386,-0.0072246,-0.0257473,-0.118032,,0.175489023,,,,,,,,,,,,,,,,LargeOverlap(Clone) (UnityEngine.GameObject),
58,,-0.8723592,-0.01703721,-2.906357,-0.8772427,-0.01703721,-2.892174,-0.8564852,-0.02237129,-2.879746,LargeOverlap(Clone) (UnityEngine.GameObject),-0.1223592,-0.01703721,-0.056357,-0.1272427,-0.01703721,-0.042174,-0.1064852,-0.02237129,-0.029746,,0.132714679,,,,,,,,,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject),
59,,-0.6423799,-0.03015381,-2.983248,-0.6553323,-0.03015381,-2.993737,-0.6438355,-0.02166843,-2.969257,MediumOverlap(Clone) (UnityEngine.GameObject),0.1076201,-0.03015381,-0.133248,0.0946677,-0.03015381,-0.143737,0.1061645,-0.02166843,-0.119257,,0.127000654,,,,,,,,,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject),
60,,-0.8476666,-0.01703721,-2.935675,-0.8367323,-0.01703721,-2.948253,-0.8413339,-0.02638841,-2.932282,MediumOverlap(Clone) (UnityEngine.GameObject),-0.0976666,-0.01703721,-0.085675,-0.0867323,-0.01703721,-0.098253,-0.0913339,-0.02638841,-0.082282,,0.126302747,,,,,,,,,,,,,,,,LargeOverlap(Clone) (UnityEngine.GameObject),
61,,-0.8107541,-0.01703721,-2.73675,-0.7960383,-0.01703721,-2.728926,-0.8123353,-0.004392147,-2.73476,MediumOverlap(Clone) (UnityEngine.GameObject),-0.0607541,-0.01703721,0.11325,-0.0460383,-0.01703721,0.121074,-0.0623353,-0.004392147,0.11524,,0.083276962,,,,,,,,,,,,,,,,LargeOverlap(Clone) (UnityEngine.GameObject),
62,,-0.875,-0.03015381,-2.817599,-0.8706864,-0.03015381,-2.8015,-0.8715501,-0.02968526,-2.814349,MediumOverlap(Clone) (UnityEngine.GameObject),-0.125,-0.03015381,0.032401,-0.1206864,-0.03015381,0.0485,-0.1215501,-0.02968526,0.035651,,0.095892501,,,,,,,,,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject),
63,,-0.9037029,-0.03015381,-2.926552,-0.8963967,-0.03015381,-2.941532,-0.901286,-0.02833152,-2.912036,MediumOverlap(Clone) (UnityEngine.GameObject),-0.1537029,-0.03015381,-0.076552,-0.1463967,-0.03015381,-0.091532,-0.151286,-0.02833152,-0.062036,,0.166414007,,,,,,,,,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject),
64,,-0.8184183,-0.007596254,-2.798692,-0.8081573,-0.007596254,-2.785558,-0.8138666,-0.01017046,-2.806739,MediumOverlap(Clone) (UnityEngine.GameObject),-0.0684183,-0.007596254,0.051308,-0.0581573,-0.007596254,0.064442,-0.0638666,-0.01017046,0.043261,,0.093634002,,,,,,,,,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject),
65,,-0.7985514,-0.03015381,-2.780325,-0.8123688,-0.03015381,-2.789645,-0.7989985,-0.01948547,-2.766108,MediumOverlap(Clone) (UnityEngine.GameObject),-0.0485514,-0.03015381,0.069675,-0.0623688,-0.03015381,0.060355,-0.0489985,-0.01948547,0.083892,,0.135192476,,,,,,,,,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject),
66,,-0.7894173,-0.03015381,-2.775314,-0.8042674,-0.03015381,-2.782881,-0.7816346,-0.02150822,-2.778511,MediumOverlap(Clone) (UnityEngine.GameObject),-0.0394173,-0.03015381,0.074686,-0.0542674,-0.03015381,0.067119,-0.0316346,-0.02150822,0.071489,,0.089135263,,,,,,,,,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject),
67,,-0.7079068,-0.03015381,-2.928903,-0.6933299,-0.03015381,-2.920822,-0.7184323,-0.02252841,-2.920172,MediumOverlap(Clone) (UnityEngine.GameObject),0.0420932,-0.03015381,-0.078903,0.0566701,-0.03015381,-0.070822,0.0315677,-0.02252841,-0.070172,,0.173527419,,,,,,,,,,,,,,,,LargeOverlap(Clone) (UnityEngine.GameObject),
68,,-0.8865747,-0.03015381,-2.750257,-0.8765445,-0.03015381,-2.736946,-0.8739082,-0.02566075,-2.749195,MediumOverlap(Clone) (UnityEngine.GameObject),-0.1365747,-0.03015381,0.099743,-0.1265445,-0.03015381,0.113054,-0.1239082,-0.02566075,0.100805,,0.126961473,,,,,,,,,,,,,,,,LargeOverlap(Clone) (UnityEngine.GameObject),
69,,-0.6670927,-0.03015381,-3.002835,-0.6525157,-0.03015381,-2.994754,-0.6755816,-0.02409458,-2.98636,MediumOverlap(Clone) (UnityEngine.GameObject),0.0829073,-0.03015381,-0.152835,0.0974843,-0.03015381,-0.144754,0.0744184,-0.02409458,-0.13636,,0.128725138,,,,,,,,,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject),
