Trial Number,,Target Position X,Target Position Y,Target Position Z,Penalty Position X,Penalty Position Y,Penalty Position Z,Collision Position X,Collision Position Y,Collision Position Z,,Overlap Type,,,,,,Targetx,Targety,Targetz,Penaltyx,Penltyy,Penaltyz,Collisionx,Collisiony,Collisionz,,TargetRadius
64,,-0.858532,-0.01703721,-2.784122,-0.8494546,-0.01703721,-2.770144,-0.8655682,-0.01388335,-2.770165,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.108532,-0.01703721,0.065878,-0.0994546,-0.01703721,0.079856,-0.1155682,-0.01388335,0.079835,,0.128099073
38,,-0.687261,-0.01703721,-2.739571,-0.6712263,-0.01703721,-2.74846,-0.6738871,0.006593227,-2.686507,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.062739,-0.01703721,0.110429,0.0787737,-0.01703721,0.10154,0.0761129,0.006593227,0.163493,,0.128144499
34,,-0.641468,-0.007596254,-2.781994,-0.631483,-0.007596254,-2.79737,-0.6357582,0.01202583,-2.745632,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.108532,-0.007596254,0.068006,0.118517,-0.007596254,0.05263,0.1142418,0.01202583,0.104368,,0.128303212
15,,-0.6953092,-0.007596254,-2.733872,-0.7119248,-0.007596254,-2.726124,-0.6902978,-0.0197978,-2.734279,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0546908,-0.007596254,0.116128,0.0380752,-0.007596254,0.123876,0.0597022,-0.0197978,0.115721,,0.128586543
30,,-0.8398954,-0.01703721,-2.759106,-0.8518844,-0.01703721,-2.770684,-0.8296137,-0.02690148,-2.749044,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0898954,-0.01703721,0.090894,-0.1018844,-0.01703721,0.079316,-0.0796137,-0.02690148,0.100956,,0.128969643
96,,-0.8560061,-0.03015381,-2.782688,-0.8646097,-0.03015381,-2.794975,-0.8487024,-0.03848886,-2.762589,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.1060061,-0.03015381,0.067312,-0.1146097,-0.03015381,0.055025,-0.0987024,-0.03848886,0.087411,,0.129141205
109,,-0.6379281,-0.03015381,-2.793137,-0.6304281,-0.03015381,-2.806127,-0.635186,-0.04521155,-2.78335,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,0.1120719,-0.03015381,0.056863,0.1195719,-0.03015381,0.043873,0.114814,-0.04521155,0.06665,,0.129239173
138,,-0.8790943,-0.007596254,-2.851107,-0.8780479,-0.007596254,-2.836143,-0.87056,0.01513219,-2.840923,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.1290943,-0.007596254,-0.001107,-0.1280479,-0.007596254,0.013857,-0.12056,0.01513219,0.009077,,0.129322337
51,,-0.626245,-0.01703721,-2.815853,-0.6316051,-0.01703721,-2.798321,-0.6297505,-0.02699971,-2.808067,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.123755,-0.01703721,0.034147,0.1183949,-0.01703721,0.051679,0.1202495,-0.02699971,0.041933,,0.129505151
115,,-0.6327151,-0.03015381,-2.80362,-0.6397588,-0.03015381,-2.788514,-0.641922,-0.04462481,-2.786957,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.1172849,-0.03015381,0.04638,0.1102412,-0.03015381,0.061486,0.108078,-0.04462481,0.063043,,0.129676923
8,,-0.7680103,-0.01703721,-2.72252,-0.7515059,-0.01703721,-2.720201,-0.7803722,-0.01266313,-2.721228,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0180103,-0.01703721,0.12748,-0.0015059,-0.01703721,0.129799,-0.0303722,-0.01266313,0.128772,,0.129868348
